TRUES,PREDS,MAE,MSE,RMSE,MAPE,MSPE,R2
0.0149733,0.015665734,0.0064222366,0.00013053995,0.011425408,0.1518505,0.06263871,0.8726559636319513
0.0136183,0.019630913,,,,,,
0.014528301,0.019614652,,,,,,
0.0145783,0.015221288,,,,,,
0.016974999,0.01600739,,,,,,
0.0156033,0.020569911,,,,,,
0.0143367,0.018948738,,,,,,
0.017028298,0.01671231,,,,,,
0.016475001,0.016763648,,,,,,
0.019655,0.016837683,,,,,,
0.0212217,0.018595023,,,,,,
0.014404999,0.016766023,,,,,,
0.0153683,0.016299875,,,,,,
0.0391917,0.03157395,,,,,,
0.052625,0.04701965,,,,,,
0.0499583,0.04654592,,,,,,
0.049915,0.04274563,,,,,,
0.0391,0.049748033,,,,,,
0.058201697,0.046514653,,,,,,
0.0461583,0.0490142,,,,,,
0.0449817,0.046862744,,,,,,
0.045866698,0.0478235,,,,,,
0.039168302,0.042953797,,,,,,
0.0391967,0.037815753,,,,,,
0.0383467,0.03653261,,,,,,
0.0289183,0.034701284,,,,,,
0.0258217,0.030156892,,,,,,
0.026120001,0.02737355,,,,,,
0.022379998,0.026303558,,,,,,
0.0226633,0.021761848,,,,,,
0.021075,0.023595126,,,,,,
0.0223717,0.023343794,,,,,,
0.022305,0.02538293,,,,,,
0.025190001,0.044713147,,,,,,
0.0242383,0.026818449,,,,,,
0.0217083,0.024986679,,,,,,
0.019121699,0.027954338,,,,,,
0.01907,0.01983641,,,,,,
0.0173267,0.017397707,,,,,,
0.0155483,0.016376633,,,,,,
0.015543301,0.0169618,,,,,,
0.0155717,0.01572536,,,,,,
0.014346698,0.009749755,,,,,,
0.014353301,0.007994097,,,,,,
0.014265001,0.009213209,,,,,,
0.019535,0.03480121,,,,,,
0.143122,0.14653182,,,,,,
0.0266117,0.021381367,,,,,,
0.017098298,0.02275948,,,,,,
0.0409683,0.0399944,,,,,,
0.0985017,0.05358617,,,,,,
0.0425317,0.049227554,,,,,,
0.0422033,0.032559313,,,,,,
0.0422417,0.03413553,,,,,,
0.04165,0.04187121,,,,,,
0.0282483,0.037409134,,,,,,
0.0243983,0.020011356,,,,,,
0.0225567,0.018824922,,,,,,
0.0225183,0.030862812,,,,,,
0.027465,0.03170635,,,,,,
0.0274967,0.02719236,,,,,,
0.0250117,0.025639124,,,,,,
0.0249817,0.026164675,,,,,,
0.024585,0.02486127,,,,,,
0.024475,0.022604002,,,,,,
0.0243883,0.020807352,,,,,,
0.024545,0.027315378,,,,,,
0.0246667,0.030571101,,,,,,
0.0254783,0.026945995,,,,,,
0.0295533,0.02545455,,,,,,
0.0318033,0.03279932,,,,,,
0.0282667,0.02814702,,,,,,
0.0306217,0.022446923,,,,,,
0.0315217,0.032363314,,,,,,
0.03128,0.03443419,,,,,,
0.0313283,0.032282427,,,,,,
0.0300733,0.03275539,,,,,,
0.028048301,0.024629282,,,,,,
0.0281,0.03274045,,,,,,
0.03288,0.051401418,,,,,,
0.15337701,0.12732708,,,,,,
0.0583383,0.0912172,,,,,,
0.061075002,0.06061458,,,,,,
0.0594217,0.04925356,,,,,,
0.055540003,0.040747605,,,,,,
0.057093296,0.05017186,,,,,,
0.058895,0.055947676,,,,,,
0.058463298,0.04896313,,,,,,
0.057974998,0.046962928,,,,,,
0.0583217,0.06049039,,,,,,
0.122053,0.07285473,,,,,,
0.049356703,0.06472076,,,,,,
