TRUES,PREDS,MAE,MSE,RMSE,MAPE,MSPE,R2
0.0149733,0.014791019,0.0017627962,9.010608e-06,0.0030017674,0.043714967,0.0050598728,0.9912099915694165
0.0136183,0.013747195,,,,,,
0.014528301,0.014007904,,,,,,
0.0145783,0.014438579,,,,,,
0.016975,0.018714214,,,,,,
0.0156033,0.01575314,,,,,,
0.0143367015,0.013674231,,,,,,
0.017028298,0.016182605,,,,,,
0.016475,0.015815925,,,,,,
0.019654999,0.019344456,,,,,,
0.0212217,0.021008987,,,,,,
0.014404999,0.013828041,,,,,,
0.0153683,0.014639931,,,,,,
0.0391917,0.041430186,,,,,,
0.052625,0.053205073,,,,,,
0.0499583,0.04989066,,,,,,
0.049915,0.048377737,,,,,,
0.0391,0.039720226,,,,,,
0.0582017,0.058311347,,,,,,
0.046158303,0.04570984,,,,,,
0.0449817,0.044845123,,,,,,
0.045866698,0.04632574,,,,,,
0.039168302,0.038689177,,,,,,
0.0391967,0.03871351,,,,,,
0.0383467,0.037849117,,,,,,
0.0289183,0.027680602,,,,,,
0.0258217,0.024731847,,,,,,
0.026120001,0.024965476,,,,,,
0.022379998,0.02209751,,,,,,
0.022663303,0.021498157,,,,,,
0.021075001,0.020395689,,,,,,
0.0223717,0.0216507,,,,,,
0.022305,0.022149488,,,,,,
0.025190001,0.024355315,,,,,,
0.0242383,0.024289954,,,,,,
0.0217083,0.024563553,,,,,,
0.019121699,0.023371313,,,,,,
0.01907,0.013204649,,,,,,
0.0173267,0.0153017845,,,,,,
0.0155483,0.016359719,,,,,,
0.015543299,0.014836919,,,,,,
0.0155717,0.01376264,,,,,,
0.014346702,0.011681892,,,,,,
0.0143532995,0.019116582,,,,,,
0.014265003,0.010740444,,,,,,
0.019535001,0.021346055,,,,,,
0.14312199,0.14729397,,,,,,
0.026611703,0.028264523,,,,,,
0.0170983,0.011128459,,,,,,
0.0409683,0.04109777,,,,,,
0.0985017,0.101520926,,,,,,
0.0425317,0.042752724,,,,,,
0.0422033,0.04188063,,,,,,
0.0422417,0.04240145,,,,,,
0.041649997,0.040445928,,,,,,
0.0282483,0.026523622,,,,,,
0.0243983,0.020615887,,,,,,
0.0225567,0.01840508,,,,,,
0.0225183,0.022507232,,,,,,
0.027464999,0.025007742,,,,,,
0.027496701,0.024360823,,,,,,
0.0250117,0.024075273,,,,,,
0.0249817,0.024529083,,,,,,
0.024585,0.025497288,,,,,,
0.024474999,0.024859738,,,,,,
0.0243883,0.023936562,,,,,,
0.024545,0.02349116,,,,,,
0.024666699,0.026866453,,,,,,
0.0254783,0.028298626,,,,,,
0.0295533,0.027117152,,,,,,
0.0318033,0.03043631,,,,,,
0.0282667,0.028128318,,,,,,
0.0306217,0.030083368,,,,,,
0.0315217,0.03197422,,,,,,
0.03128,0.030661408,,,,,,
0.0313283,0.030163337,,,,,,
0.0300733,0.02875711,,,,,,
0.028048301,0.031324234,,,,,,
0.028099999,0.026561398,,,,,,
0.03288,0.037943978,,,,,,
0.15337701,0.15759014,,,,,,
0.0583383,0.05885668,,,,,,
0.061075,0.06180136,,,,,,
0.0594217,0.059823513,,,,,,
0.055540003,0.053220835,,,,,,
0.057093296,0.054192442,,,,,,
0.058895,0.060480546,,,,,,
0.0584633,0.058482047,,,,,,
0.057974998,0.05201822,,,,,,
0.0583217,0.058093037,,,,,,
0.122053,0.12489029,,,,,,
0.0493567,0.05037327,,,,,,
0.0344067,0.03325277,,,,,,
0.041410003,0.040856905,,,,,,
0.12084801,0.12445402,,,,,,
0.0469083,0.04984547,,,,,,
0.0479817,0.045907896,,,,,,
0.044755,0.042203654,,,,,,
0.0416967,0.040157203,,,,,,
0.041646697,0.03982368,,,,,,
0.0406867,0.037900724,,,,,,
0.039445,0.035369225,,,,,,
0.06532169,0.06467836,,,,,,
0.060105003,0.059596453,,,,,,
0.049769998,0.048131727,,,,,,
0.07253999,0.07252978,,,,,,
0.073313296,0.07724178,,,,,,
0.070779994,0.07419653,,,,,,
