TRUES,PREDS,MAE,MSE,RMSE,MAPE,MSPE,R2
0.0149733,0.01301454,0.008770949,0.00023939577,0.01547242,0.21293046,0.14488935,0.7664651783481949
0.0136183,0.0145398155,,,,,,
0.014528301,0.014491161,,,,,,
0.014578301,0.014005253,,,,,,
0.016975,0.017448522,,,,,,
0.0156033,0.0149336755,,,,,,
0.0143367,0.018061068,,,,,,
0.0170283,0.013847597,,,,,,
0.016475001,0.016943809,,,,,,
0.019655,0.023904733,,,,,,
0.0212217,0.015628178,,,,,,
0.014404999,0.016495388,,,,,,
0.0153683,0.015067093,,,,,,
0.0391917,0.020185104,,,,,,
0.052625,0.036382075,,,,,,
0.0499583,0.04335594,,,,,,
0.049915,0.048996776,,,,,,
0.0391,0.035136767,,,,,,
0.0582017,0.039879385,,,,,,
0.0461583,0.058190994,,,,,,
0.0449817,0.037589658,,,,,,
0.0458667,0.046440814,,,,,,
0.039168302,0.04628189,,,,,,
0.0391967,0.04029496,,,,,,
0.0383467,0.040167443,,,,,,
0.0289183,0.036885057,,,,,,
0.0258217,0.02479077,,,,,,
0.02612,0.02373832,,,,,,
0.02238,0.03319984,,,,,,
0.0226633,0.018407892,,,,,,
0.021075,0.023349311,,,,,,
0.0223717,0.038789775,,,,,,
0.022305,0.02347651,,,,,,
0.02519,0.042288955,,,,,,
0.0242383,0.027396286,,,,,,
0.021708298,0.034273874,,,,,,
0.0191217,0.041891076,,,,,,
0.01907,0.020281784,,,,,,
0.0173267,0.0225918,,,,,,
0.015548302,0.017004525,,,,,,
0.015543299,0.016660979,,,,,,
0.0155717,0.026843164,,,,,,
0.014346698,0.027944285,,,,,,
0.014353301,0.02043861,,,,,,
0.014265001,0.018697295,,,,,,
0.019535,0.03769118,,,,,,
0.143122,0.1541816,,,,,,
0.0266117,0.068988405,,,,,,
0.0170983,0.03639648,,,,,,
0.0409683,0.056893177,,,,,,
0.0985017,0.060125273,,,,,,
0.0425317,0.06620809,,,,,,
0.0422033,0.08464985,,,,,,
0.0422417,0.045238424,,,,,,
0.04165,0.037456233,,,,,,
0.0282483,0.043930955,,,,,,
0.0243983,0.042565234,,,,,,
0.0225567,0.04339134,,,,,,
0.0225183,0.033309422,,,,,,
0.027464999,0.028238405,,,,,,
0.027496701,0.03296151,,,,,,
0.0250117,0.028641004,,,,,,
0.0249817,0.018084008,,,,,,
0.024585,0.02347842,,,,,,
0.024475,0.029062519,,,,,,
0.0243883,0.022137735,,,,,,
0.024544999,0.02217129,,,,,,
0.0246667,0.024976935,,,,,,
0.0254783,0.027423272,,,,,,
0.0295533,0.027454825,,,,,,
0.0318033,0.030476771,,,,,,
0.0282667,0.03499793,,,,,,
0.030621698,0.033386238,,,,,,
0.0315217,0.035021327,,,,,,
0.03128,0.033818457,,,,,,
0.0313283,0.032600332,,,,,,
0.0300733,0.046505973,,,,,,
0.028048301,0.035009906,,,,,,
0.0281,0.032002088,,,,,,
0.03288,0.03774818,,,,,,
0.15337701,0.09009243,,,,,,
0.058338296,0.07621405,,,,,,
0.061075002,0.07664393,,,,,,
0.0594217,0.05203574,,,,,,
0.055540003,0.038775213,,,,,,
0.057093296,0.05173487,,,,,,
0.058895,0.05994553,,,,,,
0.0584633,0.048566528,,,,,,
0.057974998,0.0836321,,,,,,
0.0583217,0.057466585,,,,,,
0.122053,0.063338324,,,,,,
0.0493567,0.100675926,,,,,,
0.0344067,0.03811054,,,,,,
0.041410003,0.05048461,,,,,,
0.12084799,0.07441718,,,,,,
0.0469083,0.05045383,,,,,,
0.047981698,0.051166482,,,,,,
0.044755,0.05953742,,,,,,
0.0416967,0.034906413,,,,,,
0.0416467,0.03675805,,,,,,
0.0406867,0.046962433,,,,,,
0.039444998,0.03627986,,,,,,
0.0653217,0.045337427,,,,,,
0.060105,0.052490253,,,,,,
0.049769998,0.047928866,,,,,,
0.07254,0.05681056,,,,,,
0.073313296,0.06928535,,,,,,
0.070779994,0.06820286,,,,,,
0.0678933,0.07314207,,,,,,
0.06781,0.0662455,,,,,,
0.0506383,0.06102839,,,,,,
0.0388433,0.045145366,,,,,,
0.022610001,0.03586766,,,,,,
0.02428,0.008553728,,,,,,
0.05336,0.025531324,,,,,,
0.0569867,0.05384919,,,,,,
0.0552683,0.07086781,,,,,,
0.027379999,0.033189546,,,,,,
0.02408,0.030453077,,,,,,
0.024960002,0.019599076,,,,,,
0.024205,0.020535203,,,,,,
0.0233117,0.029220505,,,,,,
0.02131,0.028700924,,,,,,
0.0352833,0.025906611,,,,,,
0.0520967,0.044783548,,,,,,
0.026808301,0.045065343,,,,,,
0.0281933,0.0070617846,,,,,,
0.0574417,0.036268163,,,,,,
0.204192,0.16785972,,,,,,
0.212928,0.1805194,,,,,,
0.161613,0.16661271,,,,,,
0.158187,0.13942625,,,,,,
0.115665,0.072942205,,,,,,
0.0705783,0.10139978,,,,,,
0.0775117,0.0707076,,,,,,
0.068785,0.07924966,,,,,,
0.0717517,0.044082254,,,,,,
0.0499217,0.06705794,,,,,,
0.06616829,0.027191736,,,,,,
0.17747802,0.15023468,,,,,,
0.0867483,0.13308448,,,,,,
0.0995833,0.058006793,,,,,,
0.079748295,0.08613877,,,,,,
0.081955,0.09911589,,,,,,
0.060685,0.060076393,,,,,,
0.059648298,0.074298,,,,,,
0.0608733,0.048956454,,,,,,
0.0612783,0.07140697,,,,,,
0.0336633,0.054488204,,,,,,
0.0408017,0.019794073,,,,,,
0.0429617,0.05123467,,,,,,
0.0402633,0.041014094,,,,,,
0.0465067,0.039433002,,,,,,
0.0555133,0.048003957,,,,,,
0.0498833,0.046763487,,,,,,
0.048214998,0.044614766,,,,,,
0.06995,0.056375615,,,,,,
0.070934996,0.06656795,,,,,,
0.056253303,0.058076214,,,,,,
0.06187,0.0497774,,,,,,
0.048715,0.05852674,,,,,,
0.0571017,0.06215426,,,,,,
0.0594933,0.058336753,,,,,,
0.05799,0.056855995,,,,,,
0.0583567,0.05586513,,,,,,
0.057465,0.05767229,,,,,,
0.0561467,0.05692607,,,,,,
0.0972833,0.10162881,,,,,,
0.049205,0.070390366,,,,,,
0.0437167,0.056110468,,,,,,
0.0471333,0.0573315,,,,,,
0.0427183,0.050459195,,,,,,
0.0495083,0.064961284,,,,,,
0.069785,0.052863974,,,,,,
0.0718333,0.042231392,,,,,,
0.0632083,0.062408183,,,,,,
0.073704995,0.07838871,,,,,,
0.078725,0.04833536,,,,,,
0.0798033,0.067344055,,,,,,
0.139405,0.12119211,,,,,,
0.144593,0.13157113,,,,,,
0.093441695,0.1022824,,,,,,
0.054495,0.06437831,,,,,,
0.051425,0.04745069,,,,,,
0.0418417,0.060937393,,,,,,
0.0450433,0.03781765,,,,,,
0.051565,0.043272115,,,,,,
0.0388417,0.04276945,,,,,,
0.0377817,0.043580458,,,,,,
0.04217,0.040005654,,,,,,
0.0423717,0.039509725,,,,,,
0.0383833,0.037047055,,,,,,
0.0379333,0.036608465,,,,,,
0.0412167,0.04176789,,,,,,
0.043420002,0.04169209,,,,,,
0.0426917,0.03957617,,,,,,
0.0425133,0.040420435,,,,,,
0.04496,0.044931453,,,,,,
0.0441867,0.046946894,,,,,,
0.0359367,0.040683605,,,,,,
0.0364667,0.038697995,,,,,,
0.036145,0.040867306,,,,,,
0.0360433,0.036085635,,,,,,
0.035725,0.034882184,,,,,,
0.0361517,0.03592936,,,,,,
0.0422917,0.042212915,,,,,,
0.0419833,0.03623548,,,,,,
0.0367633,0.047644418,,,,,,
0.0366833,0.034965996,,,,,,
0.036215,0.059528094,,,,,,
0.036645,0.036981165,,,,,,
0.0369933,0.04822805,,,,,,
0.037175,0.04398846,,,,,,
0.03731,0.038626246,,,,,,
0.046455,0.041562818,,,,,,
0.04364,0.07389981,,,,,,
0.043135,0.037987698,,,,,,
0.0427417,0.044167005,,,,,,
0.04287,0.06643285,,,,,,
0.04295,0.04655469,,,,,,
0.0369133,0.048245978,,,,,,
0.03839,0.03505383,,,,,,
0.0482433,0.05490781,,,,,,
0.0415883,0.101398885,,,,,,
0.0404833,0.03792751,,,,,,
0.0337817,0.046563864,,,,,,
0.0262667,0.033971068,,,,,,
0.0779183,0.0986836,,,,,,
0.20634301,0.20443189,,,,,,
0.16911002,0.13674945,,,,,,
0.023435,0.057158433,,,,,,
0.023445,0.05245339,,,,,,
0.0233917,0.05010087,,,,,,
0.0278617,0.04892461,,,,,,
0.029690001,0.047748353,,,,,,
0.029425,0.054239005,,,,,,
0.0294383,0.028294904,,,,,,
0.027221698,0.019404558,,,,,,
0.0259083,0.013423493,,,,,,
0.057415,0.030662097,,,,,,
0.2019,0.13443322,,,,,,
0.202197,0.14311543,,,,,,
0.201772,0.21162184,,,,,,
0.0195667,0.060803983,,,,,,
0.017425,0.000726882,,,,,,
0.020035,0.017989926,,,,,,
0.017649999,0.01614897,,,,,,
0.015256701,0.014308013,,,,,,
0.0151833,0.016094733,,,,,,
0.015256701,0.017881453,,,,,,
0.015298301,0.0048772558,,,,,,
0.017265,0.007787864,,,,,,
0.01513,0.01987072,,,,,,
0.015155001,0.010374825,,,,,,
0.0173483,0.016286323,,,,,,
0.020123301,0.027536256,,,,,,
0.0200917,0.02820734,,,,,,
0.020051701,0.022048727,,,,,,
0.02007,0.02110232,,,,,,
0.0200883,0.019217178,,,,,,
0.0176133,0.02030486,,,,,,
0.015075,0.021076364,,,,,,
0.0150817,0.016460286,,,,,,
0.0151,0.019358456,,,,,,
0.0149799995,0.018061148,,,,,,
0.01496,0.014522977,,,,,,
0.0150517,0.015926085,,,,,,
0.015050001,0.015841264,,,,,,
0.0160283,0.01696581,,,,,,
0.019779999,0.015814189,,,,,,
0.0182417,0.017899537,,,,,,
0.014991701,0.011963798,,,,,,
0.014994999,0.0134904925,,,,,,
0.015035,0.015479153,,,,,,
0.015035,0.015205886,,,,,,
0.0150283,0.014435457,,,,,,
0.0150417015,0.015147885,,,,,,
0.016356701,0.015130477,,,,,,
0.0198967,0.015060296,,,,,,
0.0199283,0.016562361,,,,,,
0.0198867,0.018666744,,,,,,
0.0198867,0.018923916,,,,,,
0.019985,0.020013833,,,,,,
0.017558299,0.019338414,,,,,,
0.0150817,0.01453051,,,,,,
0.015080001,0.014069492,,,,,,
0.015105,0.015515266,,,,,,
0.015075,0.015360232,,,,,,
0.015063299,0.015266657,,,,,,
0.015105002,0.014973661,,,,,,
0.01512,0.014779815,,,,,,
0.020165,0.014689943,,,,,,
0.025334999,0.023631262,,,,,,
0.02407,0.02282105,,,,,,
0.018966699,0.02521821,,,,,,
0.019065,0.015566055,,,,,,
0.018375,0.028383762,,,,,,
0.015525,0.019835575,,,,,,
0.0154317,0.02234784,,,,,,
0.019915,0.017777067,,,,,,
0.0238033,0.021938728,,,,,,
0.0214133,0.021720871,,,,,,
0.023845,0.017569603,,,,,,
0.0266833,0.037219957,,,,,,
0.0264417,0.053700585,,,,,,
0.026364999,0.031970847,,,,,,
0.027825,0.029197183,,,,,,
0.030406699,0.028876076,,,,,,
0.025795,0.036234856,,,,,,
0.022515,0.028807277,,,,,,
0.023071697,0.029070653,,,,,,
0.022386702,0.028998462,,,,,,
0.02151,0.025528086,,,,,,
0.0216,0.024732467,,,,,,
0.024509998,0.05435837,,,,,,
0.130942,0.08096887,,,,,,
0.045013297,0.08414014,,,,,,
0.034125,0.058313783,,,,,,
0.016786702,0.043855995,,,,,,
0.0207567,0.02231652,,,,,,
0.0431433,0.027028661,,,,,,
0.043861702,0.052687522,,,,,,
0.044099998,0.029085772,,,,,,
0.0439883,0.032686356,,,,,,
0.038884997,0.040062346,,,,,,
0.125008,0.111132674,,,,,,
0.19450001,0.15847234,,,,,,
0.19161801,0.15412885,,,,,,
0.0976133,0.14290138,,,,,,
0.0850283,0.054294217,,,,,,
0.0818633,0.05437413,,,,,,
0.07032669,0.06905488,,,,,,
0.137372,0.115995705,,,,,,
0.0591,0.12057418,,,,,,
0.059966702,0.06069903,,,,,,
0.026895,0.054586515,,,,,,
0.0470833,0.035816554,,,,,,
0.0419317,0.03988985,,,,,,
0.04528,0.054731973,,,,,,
0.0459617,0.03588784,,,,,,
0.04118,0.033742752,,,,,,
0.047315,0.048538886,,,,,,
0.0251917,0.051917054,,,,,,
0.0255567,0.033954907,,,,,,
0.0288033,0.026236264,,,,,,
0.0274483,0.028353868,,,,,,
0.02738,0.022511795,,,,,,
0.0221383,0.02777795,,,,,,
0.0214833,0.01981035,,,,,,
